Sweden_Motala_HG MotalaAA
Hungary_ALPc_MN.SG NE5.SG
Hungary_LN_Lengyel_dup.I1495.SG NE7.SG
Sweden_HG.SG StoraForvar11.SG
Sweden_PWC_NHG.SG Ajvide52.SG
Sweden_PWC_NHG.SG Ajvide53.SG
Sweden_PWC_NHG.SG Ajvide58.SG
Sweden_PWC_NHG.SG Ajvide70.SG
Sweden_TRB_MN.SG Gokhem2.SG
Sweden_TRB_MN.SG Gokhem4.SG
Sweden_TRB_MN.SG Gokhem5.SG
Sweden_PWC_NHG.SG Ire8.SG
Italy_North_MN_Iceman_contam.SG Iceman.SG
Iberia_HG_published.SG LaBrana1_published.SG
Denmark_BA.SG RISE21.SG
Denmark_BA.SG RISE47.SG
Denmark_MN_B.SG RISE61.SG
Denmark_LN.SG RISE71.SG
Sweden_BattleAxe.SG RISE94.SG
Sweden_LN.SG RISE97.SG
Sweden_LN.SG RISE98.SG
Poland_Unetice_EBA.SG RISE109.SG
Poland_Unetice_EBA.SG RISE139.SG
Poland_Unetice_EBA.SG RISE145.SG
Poland_Unetice_EBA.SG RISE150.SG
Poland_Unetice_EBA.SG RISE154.SG
Sweden_IA.SG RISE174.SG
Sweden_BA.SG RISE175.SG
Sweden_LN.SG RISE179.SG
Sweden_BA.SG RISE210.SG
Russia_EBA_Yamnaya_Kalmykia.SG RISE240.SG
Hungary_MBA_Vatya.SG RISE247.SG
Hungary_MBA_Vatya.SG RISE254.SG
Denmark_LBA.SG RISE276.SG
Hungary_Maros_EBA.SG RISE349.SG
Hungary_Maros_EBA.SG RISE371.SG
Hungary_Maros_EBA.SG RISE373.SG
Hungary_Maros_EBA.SG RISE374.SG
Armenia_LBA.SG RISE396.SG
Armenia_LBA.SG RISE397.SG
Armenia_LBA.SG RISE407.SG
Armenia_LBA.SG RISE408.SG
Armenia_LBA.SG RISE412.SG
Armenia_MBA.SG RISE413.SG
Armenia_MBA.SG RISE416.SG
Armenia_MBA.SG RISE423.SG
Poland_CordedWare_ProtoUnetice.SG RISE431.SG
Germany_CordedWare.SG RISE434.SG
Germany_CordedWare.SG RISE435.SG
Germany_CordedWare.SG RISE436.SG
Germany_CordedWare.SG RISE446.SG
Germany_BA.SG RISE471.SG
Hungary_MBA_Vatya.SG RISE479.SG
Hungary_MBA_Vatya.SG RISE480.SG
Hungary_MBA_Vatya.SG RISE483.SG
Hungary_MBA_Vatya.SG RISE484.SG
Italy_North_Remedello_EBA.SG RISE486.SG
Italy_North_Remedello_C.SG RISE487.SG
Italy_North_Remedello_C.SG RISE489.SG
Russia_EBA_Yamnaya_Kalmykia.SG RISE546.SG
Russia_EBA_Yamnaya_Kalmykia.SG RISE547.SG
Russia_EBA_Yamnaya_Kalmykia.SG RISE548.SG
Russia_Kalmykia_EBA_Yamnaya.SG RISE550.SG
Russia_EBA_Yamnaya_Kalmykia.SG RISE552.SG
Russia_EBA.SG RISE555.SG
Germany_BellBeaker_dup.I4124.SG RISE559.SG
Germany_BellBeaker_father.or.son.I4132.SG RISE560.SG
Germany_BellBeaker_dup.I4143.SG RISE562.SG
Germany_BellBeaker_dup.I4144.SG RISE563.SG
Germany_BellBeaker_dup.I4134.SG RISE564.SG
Czech_BellBeaker_dup.I4145.SG RISE566.SG
Czech_BellBeaker_dup.I4136.SG RISE567.SG
Czech_EarlySlav.SG RISE568.SG
Czech_EarlySlav_dup.I4137.SG RISE569.SG
Czech_Unetice_EBA_dup.I4139.SG RISE577.SG
Czech_Unetice_EBA_dup.I5044.SG RISE586.SG
Montenegro_LBA.SG RISE595.SG
Israel_PPNB I0867
Israel_C I1165
Iberia_C I1271
Iberia_C I1303
Germany_BellBeaker I1549
Iberia_MN I0407
Germany_EN_LBK I0025
Russia_Poltavka I0374
Anatolia_N I0726
Israel_C I1160
Israel_C_father.or.son.I1169 I1166
Germany_CordedWare I0103
Germany_MN_Esperstedt I0172
Iberia_MN I0408
Iberia_EN I0412
Germany_EN_LBK I0054
Germany_CordedWare I0104
Germany_EBA_Unetice I0116
Germany_LN_Alberstedt I0118
Iberia_MN I0406
Iberia_EN I0410
Iberia_EN I0413
Hungary_MN_LBK_published.SG NE6.SG
Hungary_LN_Sopot I1893
Hungary_MN_LBK I1904
Germany_MN_Blatterhohle I1593
Germany_MN_Blatterhohle I1563
Germany_MN_Blatterhohle I1565
Iberia_EN.SG CB13.SG
Iberia_C.SG ATP3.SG
Iberia_C.SG ATP7.SG
Iberia_BA.SG ATP9.SG
Iberia_C.SG ATP17.SG
Hungary_EN_Starcevo I1876
Hungary_MN_LBK I1882
Hungary_MN_LBK I1883
Hungary_MN_Vinca I1885
Ukraine_Ozera_EBA_Yamnaya I1917
Ukraine_Eneolithic_Trypillia_published I1926_published
Iberia_C I1981
Ukraine_EBA_Yamnaya I2105
Ukraine_Eneolithic_Trypillia I2110
Ukraine_Eneolithic_Trypillian_published I2111_published
Bulgaria_MLBA I2163
Bulgaria_EBA I2165
Hungary_C_Balaton_Lasinja I2351
Hungary_LN_Lengyel I2352
Hungary_EarlyC_Tiszapolgar I2353
Hungary_EarlyC_Tiszapolgar I2354
Hungary_MN_ALBK_Szakalhat I2355
Hungary_EarlyC_Tiszapolgar I2356
Hungary_MN_ALBK_Szakalhat I2357
Hungary_LN_Tisza I2358
Hungary_LN_Tisza I2359
Hungary_EBA_BellBeaker I2364
Hungary_LateC_Baden I2368
Hungary_LateC_Baden I2369
Hungary_LateC_Baden I2370
Hungary_LateC_Baden I2371
Hungary_EN_Koros I2374
Hungary_MN_ALPc_Tiszadob I2375
Hungary_MN_ALPc_Tiszadob I2376
Hungary_MN_ALPc_Tiszadob I2377
Hungary_MN_ALPc_Tiszadob I2378
Hungary_MN_ALPc_Tiszadob I2379
Hungary_MN_ALPc_Szatmar I2380
Hungary_MN_ALPc_Szatmar I2382
Hungary_MN_ALPc_III I2383
Hungary_LN_Tisza I2387
Hungary_C_Balaton_Lasinja I2394
Hungary_EarlyC_Tiszapolgar I2395
Germany_EN_LBK I0056
Germany_EN_LBK I0100
Georgia_Kotias.SG KK1.SG
Anatolia_Kumtepe_N.SG kum6.SG
Ireland_MN.SG bally.SG
Ireland_BA.SG rath1.SG
Ireland_BA.SG rath2.SG
Ireland_BA.SG rath3.SG
Sweden_HG_Motala.SG I0017.SG
England_Roman.SG 3DT16.SG
England_Roman_MiddleEast.SG 3DT26.SG
England_Roman.SG 6DT18.SG
England_Roman.SG 6DT21.SG
England_Roman.SG 6DT22.SG
England_Roman.SG 6DT23.SG
England_Roman.SG 6DT3.SG
England_LIA.SG M1489.SG
England_Saxon.SG NO3423.SG
Iberia_BellBeaker I0461
England_BellBeaker I2445
England_BellBeaker I2452
England_BellBeaker I2453
England_BellBeaker I2454
England_BellBeaker I2455
Hungary_EN_Koros_all I2373_all
Hungary_EN_Starcevo_all I1877_all
Croatia_LateC_EBA_Vucedol I3499
Germany_EN_LBK_1d.or.2d.rel.I1550 I2020
Germany_EN_LBK I2022
Scotland_N I2980
Scotland_C_EBA I2981
Scotland_N I2988
Scotland_N I3136
Scotland_N_published I3137_published
Scotland_N I3138
Ukraine_EBA_Yamnaya_published I3141_published
Ukraine_Eneolithic_Trypillia_published I3151_published
England_BellBeaker I3255
Iberia_C I3270
Iberia_C I3271
Iberia_C I3272
Croatia_EIA I3313
Croatia_N_Cardial I3433
Croatia_MN_Sopot I3498
Hungary_EBA_BellBeaker I3528
Hungary_EBA_BellBeaker I3529
Germany_BellBeaker_brother.I3588_published I3599_published
Germany_BellBeaker I3600
Germany_BellBeaker I3601
Germany_BellBeaker_published I3602_published
Germany_BellBeaker_published I3604_published
France_BellBeaker I3874
France_BellBeaker I3875
Bulgaria_MalakPreslavets_N I3879
Iberia_C I3269
Scotland_N I2977
Scotland_N I2978
Scotland_N I3133
England_BellBeaker I3256
Scotland_N I2979
Scotland_N I3134
Scotland_N I3135
Scotland_C_EBA I3132
Croatia_N_Cardial I3947
Croatia_N_Cardial I3948
England_N I3068
Hungary_EBA_BellBeaker I2365
Poland_Globular_Amphora I2403
Hungary_MN_ALPc_III I3535
Hungary_MN_LBK I3536
Hungary_MN_ALPc_Szatmar I3537
Germany_BellBeaker I3588
Germany_BellBeaker I3589
Germany_BellBeaker I3590
Germany_BellBeaker I3594
Ukraine_N I3714
Ukraine_N I3715
Ukraine_N I3717
Netherlands_BellBeaker_published I4067_published
Netherlands_BellBeaker I4068
Netherlands_BellBeaker I4069
Netherlands_BA I4070
Netherlands_BA I4071
Netherlands_BellBeaker I4073
Netherlands_BellBeaker I4075
Netherlands_BellBeaker I4076
Romania_C I4088
Romania_C I4089
Ukraine_Eneolithic_SredniStog I4110
Ukraine_N I4111
Ukraine_N_published I4112_published
Ukraine_N I4114
Croatia_EN_Starcevo I4167
Croatia_MN_Sopot I4168
Croatia_LateC_EBA_Vucedol I4175
Hungary_EBA_BellBeaker I4178
Hungary_LN_Sopot I4184
Hungary_LN_Sopot I4185
Hungary_MN_ALPc_Esztar I4186
Hungary_MN_ALPc_Esztar I4187
Hungary_MN_ALPc_I I4188
Hungary_C_Balaton_Lasinja I4189
Hungary_MN_LBK I4196
Hungary_MN_ALPc_Tiszadob I4199
Iberia_BellBeaker I4247
Germany_BellBeaker_published I4249_published
Germany_BellBeaker_published I4250_published
Poland_BellBeaker_published I4251_published
Poland_BellBeaker_published I4252_published
Poland_BellBeaker I4253
Germany_MN_Blatterhohle I1594
England_BellBeaker I1767
England_BellBeaker I1770
Wales_C_EBA I1775
Iberia_C I1838
Iberia_C I1843
Hungary_MN_Vinca I1887
Hungary_MN_Vinca I1889
Hungary_LN_Sopot I1890
Hungary_LN_Sopot I1891
Hungary_MN_Vinca I1896
Hungary_LN_Lengyel I1899
Hungary_LN_Lengyel I1900
Hungary_LN_Lengyel I1901
Hungary_LN_Lengyel_son.I10619.son.I10624.halfbro.I10620.halfbro.I10621 I1903
Hungary_LN_Lengyel I1906
Hungary_C_Balaton_Lasinja I1908
Hungary_C_Balaton_Lasinja I1909
Iran_Historic_GanjDareh I1955
Iberia_EN I1972
Iberia_C I1975
England_C_EBA I2464
Bulgaria_C I2509
Bulgaria_EBA I2510
Bulgaria_C I2519
Bulgaria_EBA I2520
Romania_EN I2532
Romania_Mesolithic I2534
England_C_EBA I2566
Scotland_C_EBA I2567
Scotland_C_EBA I2568
Scotland_C_EBA_published I2569_published
Scotland_MBA I2573
Wales_EBA_published I2574_published
France_BellBeaker_published I2575_published
England_EBA_father.or.son.I2597 I2596
England_C_EBA_published I2598_published
England_C_EBA_o_daughter.I2457 I2600
England_C_EBA I2601
England_C_EBA I2602
England_N I2605
England_C_EBA I2609
England_C_EBA I2610
England_C_EBA I2612
England_C_EBA I2618
Scotland_N_published I2629_published
Scotland_N I2630
Scotland_N I2631
Scotland_N I2633
Scotland_N I2635
Scotland_N I2637
England_MBA I2639
Scotland_N I2650
Scotland_N I2651
Scotland_MBA I2653
Scotland_MBA I2654
Scotland_MBA I2655
Scotland_N I2659
Scotland_N I2660
Scotland_N I2691
Hungary_EBA_BellBeaker_o I2741
Hungary_MN_ALPc_Szakalhat I2743
Hungary_MN_ALPc_Szakalhat I2744
Hungary_MN_ALPc_Szakalhat I2745
Hungary_LN_Tisza I2746
Hungary_LateC_Baden I2752
Hungary_LateC_Baden I2753
Hungary_LateC_Baden I2754
Hungary_LateC_Baden I2755
Hungary_LateC_Baden I2763
Hungary_Hunyadihalom_MCHA I2783
Hungary_LateC_Baden I2785
Hungary_EBA_BellBeaker I2787
Hungary_LateC_Protoboleraz I2788
Hungary_LateC_Protoboleraz I2789
Scotland_N_published I2796_published
Scotland_LBA I2859
Scotland_LBA I2860
Scotland_LBA I2861
Scotland_N I2932
Scotland_N I2933
Scotland_N I2934
Scotland_N I2935
Scotland_N I3041
Scotland_N I3085
Scotland_LBA I3130
Germany_BellBeaker_1d.rel.I3590_published I3593_published
Germany_BellBeaker_1d.rel.I3594 I3597
Ukraine_N_published I3712_published
Ukraine_N_published I3713_published
Ukraine_N_published I3716_published
Ukraine_N_son.I1732.SG Ukraine_N1.SG
Latvia_HG.SG Latvia_HG2.SG
Latvia_MN.SG Latvia_MN1.SG
Latvia_HG_dup.I4628.SG Latvia_HG3.SG
Latvia_LN_CordedWare.SG Latvia_LN1.SG
Latvia_MN_Comb_Ware.SG Latvia_MN2.SG
Latvia_HG_dup.I4632.SG Latvia_HG1.SG
Netherlands_BellBeaker I4074
Romania_Mesolithic_IronGates_published I4081_published
France_MN I4303
Croatia_MBA I4331
Croatia_MBA I4332
Latvia_HG I4432
Latvia_HG I4434
Latvia_MN I4435
Latvia_MN I4436
Latvia_MN I4437
Latvia_HG I4438
Latvia_HG I4439
Latvia_HG I4440
Latvia_HG I4441
Israel_C I1169
Latvia_HG I4550
Latvia_HG I4551
Latvia_HG I4552
Latvia_HG I4553
Latvia_MN I4554
Latvia_HG I4626
Latvia_MN I4627
Latvia_HG I4628
Latvia_LN_CordedWare I4629
Romania_Mesolithic_IronGates_published I4655_published
Serbia_EN_published I4665_published
Serbia_EN_published I4666_published
Germany_BellBeaker I5014
Bulgaria_N_published I0704_published
Bulgaria_Dzhulyunitsa_N I0706
Bulgaria_MalakPreslavets_N I1108
Bulgaria_MalakPreslavets_N I1109
Bulgaria_MalakPreslavets_N I1113
Bulgaria_MalakPreslavets_N I1295
Bulgaria_MalakPreslavets_N_published I1296_published
Bulgaria_MalakPreslavets_N I1297
Bulgaria_EBA I2175
Bulgaria_EBA_published I2176_published
Bulgaria_C_published I2181_published
Bulgaria_MalakPreslavets_N_published I2215_published
Bulgaria_MalakPreslavets_N_published I2216_published
Bulgaria_C I2423
Bulgaria_C I2424
Bulgaria_C I2425
Bulgaria_C_published I2426_published
Bulgaria_C I2430
Bulgaria_C I2526
Hungary_EBA_BellBeaker I5015
Germany_BellBeaker I4124
Germany_BellBeaker I4143
Germany_BellBeaker I4144
Germany_BellBeaker I4134
Germany_BellBeaker I5023
Czech_BellBeaker I4145
Czech_BellBeaker I4136
Czech_EBA_Starounetice_dup.I4139 I4139
Czech_EBA_Protounetice I5042
Czech_EBA_Unetice I5043
Czech_EBA_Unetice I4130
Hungary_LC_EBA_Baden_Yamnaya I5117
Hungary_LC_EBA_Baden_Yamnaya I5118
Hungary_LC_EBA_Baden_Yamnaya I5119
Germany_EN_LBK I0018
Israel_C_published I1183_published_d
Ukraine_Globular_Amphora ILK001
Ukraine_EBA_GlobularAmphora ILK002
Ukraine_Globular_Amphora ILK003
Croatia_Mesolithic_HG I1875
France_MN I4304
France_MN I4305
France_MN I4308
Latvia_HG I4595
Latvia_HG I4596
Latvia_HG I4630
Latvia_HG I4632
Serbia_Mesolithic_IronGates I4871
Serbia_Mesolithic_IronGates I4872
Serbia_Mesolithic_IronGates I4873
Serbia_Mesolithic_IronGates I4874
Serbia_Mesolithic_IronGates I4875
Serbia_Mesolithic_IronGates I4876
Serbia_Mesolithic_IronGates I4877
Serbia_Mesolithic_IronGates I4878
Serbia_Mesolithic_IronGates I4880
Serbia_Mesolithic_IronGates_published I4881_published
Serbia_Mesolithic_IronGates_brother.I4880 I4882
Serbia_Mesolithic_IronGates_published I4914_published
Serbia_Mesolithic_IronGates I4915
Serbia_Mesolithic_IronGates I4916
Serbia_Mesolithic_IronGates I4917
Serbia_EN_Starcevo I4918
Czech_BellBeaker I4945
Czech_BellBeaker I4946
England_N_published I4949_published
England_BellBeaker I4951
Hungary_EN_HG_Koros I4971
Austria_EN_LBK I5068
Austria_EN_LBK I5069
Austria_EN_LBK I5070
Croatia_MN_Sopot I5077
Croatia_MN_Sopot I5078
Croatia_LN_Starcevo I5079
Serbia_Mesolithic_IronGates_o I5232
Serbia_Mesolithic_IronGates I5233
Serbia_Mesolithic_IronGates I5234
Serbia_Mesolithic_IronGates I5237
Czech_EBA I4884
Czech_BellBeaker I4885
Czech_BellBeaker I4886
Czech_BellBeaker_brother.I4888 I4887
Czech_BellBeaker I4888
Czech_BellBeaker I4889
Czech_BellBeaker I4890
Czech_BellBeaker I4891
Czech_EBA I4892
Czech_N I4893
Czech_N I4894
Czech_BellBeaker I4895
Czech_BellBeaker I4896
Austria_EN_LBK I5204
Austria_EN_LBK I5205
Austria_EN_LBK I5206
England_BellBeaker I5512
England_BellBeaker I5513
Czech_BellBeaker I5514
Scotland_C_EBA I5515
Scotland_C_EBA I5516
Germany_BellBeaker I5519
Germany_BellBeaker I5520
Germany_BellBeaker I5521
Germany_BellBeaker I5523
Germany_BellBeaker I5524
Germany_BellBeaker I5525
Germany_BellBeaker I5527
Germany_BellBeaker I5529
Netherlands_BellBeaker I5748
Netherlands_BellBeaker I5750
Switzerland_BellBeaker I5755
Switzerland_BellBeaker I5759
Bulgaria_IA I5769
Serbia_Mesolithic_IronGates I5771
Serbia_Mesolithic_IronGates I5772
Germany_BellBeaker I5833
Germany_BellBeaker I5834
Germany_BellBeaker_father.or.son.I1533 I5835
Iberia_C I5838
Ukraine_N_published I5868_published
Ukraine_N_1d.rel.I5870 I5869
Ukraine_N I5870
Ukraine_N_published I5872_published
Ukraine_N_published I5873_published
Ukraine_N I5875
Ukraine_Mesolithic I5876
Ukraine_N_father.or.son.I5883_published I5878_published
Ukraine_N_brother.I8590_father.or.son.I3718 I5879
Ukraine_N_published I5881_published
Ukraine_Eneolithic I5882
Ukraine_N I5883
Ukraine_Mesolithic I5885
Ukraine_N_published I5886_published
Ukraine_N_father.or.son.I5875_published I5888_published
Ukraine_N_published I5889_published
Ukraine_N I5890
Ukraine_N I5892
Ukraine_N_1d.rel.I5881_published I5893_published
Bulgaria_Krepost_N I0679_d
England_BellBeaker I2417
England_BellBeaker I2443
England_BellBeaker_published I2446_published
England_BellBeaker I2447
England_BellBeaker I2450
England_MBA I2458
England_C_EBA I2461
England_C_EBA I2462
Italy_North_BellBeaker I2477
Bulgaria_N I2521
Bulgaria_N_published I2529_published
Hungary_EN_Koros I2794
Greece_Peloponnese_N_all I2937_all
Italy_Sicily_C_o I4930
Austria_EN_LBK I5207
Austria_EN_LBK I5208
Wales_LN I5358
Wales_C I5359
Wales_MBA I5364
England_N I5366
Scotland_BellBeaker I5367
Scotland_N I5370
Scotland_N I5371
England_C_EBA I5373
England_N I5374
England_BellBeaker I5376
England_BellBeaker I5379
England_BellBeaker I5382
Scotland_BellBeaker I5385
Serbia_Mesolithic_IronGates I5401
Serbia_Mesolithic_IronGates I5402
Serbia_N I5405
Serbia_Mesolithic_IronGates I5407
Romania_Mesolithic_IronGates I5408
Serbia_Mesolithic_IronGates_published I5409_published
Romania_Mesolithic_IronGates I5411
Greece_N I5427
England_C_EBA I5441
Scotland_C_EBA_published I5471_published
Germany_BellBeaker_published I5655_published
Germany_BellBeaker_1d.rel.I5658_published I5657_published
Germany_BellBeaker I5658
Germany_BellBeaker I5659
Germany_BellBeaker_1d.rel.I6624_published I5660_published
Germany_BellBeaker_published I5661_published
Germany_BellBeaker_published I5663_published
Ukraine_N_published I5957_published
Ukraine_N_published I6133_published
Czech_BellBeaker I6468
Czech_BellBeaker I6476
Czech_BellBeaker I6480
Poland_ChopiceVeseleCulture I6531
Poland_BellBeaker I6534
Poland_ChopiceVeseleCulture I6537
Poland_BellBeaker I6538
Iberia_BellBeaker I6539
Iberia_BellBeaker_published I6542_published
Iberia_C I6543
Poland_EBA I6579
Poland_BellBeaker I6580
Poland_BellBeaker_father.I6582_father.I6535 I6581
Poland_BellBeaker I6582
Poland_BellBeaker I6583
Iberia_BellBeaker I6584
Iberia_BellBeaker I6587
Iberia_BellBeaker I6588
Germany_BellBeaker I6590
Germany_BellBeaker I6591
Iberia_C_published I6596_published
Iberia_N_EBA I6601
Iberia_C_published I6608_published
Iberia_C I6617
Iberia_BellBeaker I6623
Germany_BellBeaker I6624
Iberia_C I6628
Iberia_C I6629
Iberia_C I6630
England_MBA I3082
Germany_BellBeaker_father.or.son.I4132 I4132
Iberia_BellBeaker I4229
Iberia_BellBeaker I4245
Bulgaria_N_published I0698_published
Romania_Mesolithic_IronGates.SG M95.SG
Romania_Mesolithic_IronGates.SG M96.SG
Romania_Mesolithic_IronGates.SG OC.SG
Hungary_EN_Koros I2373
Ukraine_N_son.I1732 I1378
England_N I6750
England_N I6751
England_N I6759
England_N I6761
England_N I6762
England_BellBeaker I6774
England_C_EBA I2597
England_C_EBA I2604
England_N I2606
Ukraine_Eneolithic_SredniStog_o4 I6561
England_N I0519
Croatia_Vucedol I2792
Anatolia_EBA I2683
England_N I0518
Hungary_EBA_BellBeaker I2786
Greece_Peloponnese_N I3708
Ukraine_N I3718
England_LBA I5383
Jordan_PPNB_published I1701_published
England_C_EBA I5377
Anatolia_EBA I2495
Greece_Peloponnese_N I3709
Jordan_PPNB_published I1415_published
France_BellBeaker_lowSteppe I1392
Romania_Mesolithic_IronGates I4582
Greece_Peloponnese_N I2318
Greece_Peloponnese_N I2937
Romania_Mesolithic_IronGates_published I4607
Anatolia_EBA I2499
Greece_Peloponnese_N I3920
Serbia_Mesolithic_IronGates I4660
Serbia_Mesolithic_IronGates I4870
England_BellBeaker I6679
England_C_EBA I6680
Iberia_BellBeaker I1970
Italy_North_BellBeaker I1979
Lebanon_MLBA_Canaanite_MBA.SG ERS1790729.SG
Lebanon_MLBA_Canaanite_MBA.SG ERS1790730.SG
Lebanon_MLBA_Canaanite_MBA.SG ERS1790731.SG
Lebanon_MLBA_Canaanite_MBA.SG ERS1790732.SG
Lebanon_MLBA_Canaanite_MBA.SG ERS1790733.SG
Germany_Bockstein_published Bockstein_published_d
Germany_Falkenstein_published Falkenstein_published_d
France_Chaudardes_published Chaudardes1_published_d
Israel_C I1154
Czech_HallstattBylany.SG DA111.SG
Czech_HallstattBylany.SG DA112.SG
Slovakia_Poprad.SG DA119.SG
Russia_Sarmatian.SG DA134.SG
Russia_Sarmatian.SG DA139.SG
Russia_Sarmatian.SG DA141.SG
Russia_Medieval_Nomad.SG DA142.SG
Russia_Sarmatian.SG DA143.SG
Russia_Sarmatian.SG DA144.SG
Russia_Sarmatian.SG DA145.SG
Russia_Alan.SG DA146.SG
Russia_Alan.SG DA160.SG
Russia_Alan_o.SG DA161.SG
Russia_Alan.SG DA162.SG
Russia_Alan.SG DA164.SG
Lithuania_Late_Antiquity.SG DA171.SG
Russia_SaltovoMayaki.SG DA188.SG
Russia_SaltovoMayaki.SG DA189.SG
Russia_SaltovoMayaki.SG DA190.SG
Hungary_Scythian.SG DA191.SG
Hungary_Scythian.SG DA194.SG
Hungary_Scythian.SG DA195.SG
Hungary_Scythian.SG DA197.SG
Hungary_Scythian.SG DA198.SG
Hungary_Medieval.SG DA199.SG
Russia_Alan.SG DA243.SG
Armenia_LchashenMetsamor.SG DA31.SG
Armenia_LchashenMetsamor.SG DA35.SG
Anatolia_Ottoman_1.SG MA2195_final.SG
Anatolia_Ottoman_2.SG MA2196_final.SG
Anatolia_IA.SG MA2197_final.SG
Anatolia_IA.SG MA2198_final.SG
Anatolia_MLBA.SG MA2200_final.SG
Anatolia_MLBA.SG MA2203_final.SG
Anatolia_MLBA.SG MA2205_final.SG
Anatolia_MLBA.SG MA2206_final.SG
Anatolia_MLBA.SG MA2208_final.SG
Anatolia_EBA.SG MA2210_final.SG
Anatolia_EBA.SG MA2212_final.SG
Anatolia_EBA.SG MA2213_final.SG
Russia_Sarmatian.SG DA136.SG
Scotland_N_o I2657
Sweden_Viking.SG vik_84001.SG
Sweden_Viking.SG vik_84005.SG
Sweden_Viking_fail.due.to.high.heterozygosity.SG vik_84035.SG
Sweden_Viking.SG vik_97002.SG
Sweden_Viking.SG vik_97026.SG
Sweden_Viking.SG vik_97029.SG
Sweden_Viking.SG vik_grt035.SG
Sweden_Viking.SG vik_grt036.SG
Sweden_Viking.SG vik_gtm021.SG
Sweden_Viking.SG vik_gtm127.SG
Sweden_Viking.SG vik_KAL006.SG
Sweden_Viking.SG vik_kal009.SG
Sweden_Viking.SG vik_kls001.SG
Sweden_Viking.SG vik_nuf002.SG
Sweden_Viking.SG vik_stg020.SG
Sweden_Viking.SG vik_stg021.SG
Sweden_Viking.SG vik_stg026.SG
Sweden_Viking.SG vik_urm035.SG
Sweden_Viking.SG vik_urm045.SG
Sweden_Viking.SG vik_urm160.SG
Sweden_Viking.SG vik_urm161.SG
Hungary_Avar_daughter.or.mother.AV1 AV2
Italy_North_EarlyMedieval_Langobards CL110
Italy_North_EarlyMedieval_Langobards CL121
Italy_North_EarlyMedieval_Langobards_brother.CL146_son.CL151 CL145
Italy_North_EarlyMedieval_Langobards CL146
Italy_North_EarlyMedieval_Langobards CL23
Italy_North_EarlyMedieval_Langobards CL30
Italy_North_EarlyMedieval_Langobards CL38
Italy_North_EarlyMedieval_Langobards CL49
Italy_North_EarlyMedieval_Langobards CL53
Italy_North_EarlyMedieval_Langobards CL57
Italy_North_EarlyMedieval_Langobards CL63
Italy_North_EarlyMedieval_Langobards CL84
Italy_North_EarlyMedieval_Langobards_son.CL93 CL92
Italy_North_EarlyMedieval_Langobards CL93
Italy_North_EarlyMedieval_Langobards CL94
Italy_North_EarlyMedieval_Langobards CL97
Hungary_Langobard SZ12
Hungary_Langobard_son.SZ24_father.SZ7_brother.SZ22 SZ13
Hungary_Langobard SZ14
Hungary_Langobard SZ16
Hungary_Langobard SZ18
Hungary_Langobard SZ19
Hungary_Langobard_son.SZ24_brother.SZ22 SZ22
Hungary_Langobard SZ23
Hungary_Langobard SZ24
Hungary_Langobard SZ25
Hungary_Langobard SZ27
Hungary_Langobard SZ28
Hungary_Langobard SZ30
Hungary_Langobard SZ31
Hungary_Langobard SZ32
Hungary_Langobard SZ37
Hungary_Langobard SZ38
Hungary_Langobard SZ40
Hungary_Langobard SZ42
Hungary_Langobard_brother.SZ14_brother.SZ8 SZ6
Hungary_Langobard SZ7
Hungary_Langobard_sister.SZ14_sister.SZ6 SZ8
Hungary_Langobard.SG SZ11.SG
Hungary_Langobard.SG SZ15.SG
Hungary_AvarPeriod.SG SZ1.SG
Hungary_Langobard.SG SZ2.SG
Hungary_Langobard.SG SZ36.SG
Hungary_Langobard.SG SZ3.SG
Hungary_Langobard.SG SZ43.SG
Hungary_Langobard.SG SZ45.SG
Hungary_Langobard.SG SZ4.SG
Hungary_Langobard.SG SZ5.SG
Moldova_Cimmerian.SG cim357.SG
Moldova_Cimmerian.SG cim358.SG
Moldova_Cimmerian.SG cim359.SG
Ukraine_Scythian.SG scy009.SG
Ukraine_Scythian.SG scy010.SG
Ukraine_Scythian.SG scy011.SG
Moldova_Scythian.SG scy192.SG
Moldova_Scythian_o1.SG scy193.SG
Moldova_Scythian.SG scy197.SG
Moldova_Scythian.SG scy300.SG
Moldova_Scythian.SG scy301.SG
Moldova_Scythian_o2.SG scy303.SG
Moldova_Scythian.SG scy304.SG
Moldova_Scythian.SG scy305.SG
Moldova_Scythian.SG scy311.SG
Poland_EBA.SG N17.SG
Poland_TRB.SG N18.SG
Poland_TRB.SG N19.SG
Poland_TRB.SG N20.SG
Poland_BKG.SG N22.SG
Poland_BKG.SG N25.SG
Poland_BKG.SG N26.SG
Poland_BKG.SG N27.SG
Poland_BKG_o2.SG N31.SG
Poland_BKG.SG N36.SG
Poland_GAC.SG N38.SG
Poland_BKG_o1.SG N42.SG
Poland_CWC_o.SG N44.SG
Anatolia_C I1584
England_N.SG SB338B2_lib.SG
England_N.SG SB379D2_lib.SG
England_Mesolithic.SG I3025.SG
England_N.SG I3040.SG
Scotland_N.SG SB527A_lib.SG
Scotland_N.SG SB528A_lib.SG
Wales_LN.SG SB570A_lib.SG
Wales_C.SG SB573A_lib.SG
England_N.SG SB603A_lib.SG
England_N_all.SG I6750_all.SG
England_N.SG I6750.SG
England_N_all.SG I6751_all.SG
England_N.SG I6751.SG
England_N.SG I6759.SG
England_N.SG I6761.SG
