Sweden_Motala_HG MotalaAA
Lebanon_Medieval_o2.SG SI-39.SG
Lebanon_Medieval_o6.SG SI-40.SG
Lebanon_Medieval_o1.SG SI-41.SG
Lebanon_Medieval.SG SI-42.SG
Lebanon_Medieval_o3.SG SI-44.SG
Lebanon_Medieval.SG SI-45.SG
Lebanon_Medieval_o2.SG SI-47.SG
Lebanon_Medieval_o4.SG SI-53.SG
Germany_Lech_EBA AITI_119
Germany_Lech_EBA_brother.AITI_119.brother.AITI_86.son.AITI_87 AITI_120
Germany_Lech_EBA AITI_2
Germany_Lech_EBA AITI_36
Germany_Lech_EBA AITI_40
Germany_Lech_EBA AITI_43
Germany_Lech_EBA AITI_50
Germany_Lech_EBA AITI_65adult_d
Germany_Lech_EBA AITI_66_d
Germany_Lech_EBA_father.or.son.AITI_72 AITI_70
Germany_Lech_EBA AITI_72
Germany_Lech_EBA_sister.AITI_77B AITI_77A_d
Germany_Lech_EBA AITI_77B_d
Germany_Lech_EBA AITI_78
Germany_Lech_EBA_mother.AITI_119.mother.AITI_120.mother.AITI_86 AITI_87_d
Germany_Lech_EBA AITI_92_d
Germany_Lech_EBA AITI_95_d
Germany_Lech_EBA AITI_98
Germany_CordedWare_Tauber ALT_4_d
Germany_Lech_BellBeaker AMP_1_d
Germany_Lech_BellBeaker HUGO_168_d
Germany_Lech_BellBeaker HUGO_180Sk1_d
Germany_Lech_BellBeaker HUGO_190_d
Germany_Lech_EBA OBKR_117_d
Germany_Lech_EBA OBKR_2_d
Germany_Lech_EBA OBKR_50_d
Germany_Lech_EBA OBKR_66_d
Germany_Lech_EBA OBKR_80
Germany_Lech_EBA_brother.OBKR_80 OBKR_86_d
Germany_Lech_EBA OBKR_9A_d
Germany_Lech_MBA OTTM_142_d
Germany_Lech_MBA OTTM_151ind1_d
Germany_Lech_MBA OTTM_151ind2_d
Germany_Lech_MBA OTTM_154
Germany_Lech_MBA OTTM_156
Germany_Lech_MBA OTTM_87_d
Germany_Lech_EBA POST_35_d
Germany_Lech_EBA POST_44
Germany_Lech_EBA_brother.POST_28.son.POST_140 POST_47
Germany_Lech_EBA POST_50
Germany_Lech_EBA POST_6
Germany_Lech_EBA POST_99_d
Germany_Lech_EBA UNTA58_153
Germany_Lech_BellBeaker UNTA58_68Sk1
Germany_Lech_BellBeaker UNTA58_68Sk2_d
